City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Tomari,0,RU,1541633811,40.8,4.61,47.76,142.06,86
Jumla,0,NP,1541633861,22.85,2.59,29.28,82.18,76
Rosignol,8,GY,1541633862,78.92,6.73,6.28,-57.53,91
Turbat,0,PK,1541633862,54.53,2.71,26,63.05,83
Sorland,0,NO,1541633862,47.28,17.13,67.67,12.69,100
Atar,12,MR,1541633862,73.88,3.94,20.52,-13.05,36
Krasnyy Chikoy,0,RU,1541633862,0.03,2.37,50.36,108.75,57
Luis Correia,8,BR,1541633863,81.8,17.69,-2.88,-41.67,66
Carthage,90,US,1541632500,57.02,5.82,32.16,-94.34,93
Smithers,75,CA,1541631600,32,1.92,54.78,-127.17,82
Coquimbo,75,CL,1541631600,57.2,11.41,-29.95,-71.34,87
Pacific Grove,1,US,1541631300,80.6,4.7,36.62,-121.92,62
Mogadishu,56,SO,1541633787,80.58,8.75,2.04,45.34,99
Gizo,0,IL,1541632800,60.8,2.24,31.8,34.94,82
Visby,0,SE,1541631000,48.2,6.93,57.64,18.3,93
Kudahuvadhoo,64,MV,1541633864,82.61,7.74,2.67,72.89,100
Bauchi,0,NG,1541633865,67.4,3.94,10.31,9.85,48
Husavik,36,CA,1541633865,22.53,9.42,50.56,-96.99,90
Ambilobe,12,MG,1541633865,70.01,4.5,-13.19,49.05,84
Namibe,0,AO,1541633865,71.63,9.64,-15.19,12.15,100
Wagar,56,US,1541633865,67.94,3.27,31.44,-87.99,99
Kruisfontein,0,ZA,1541633865,56.78,13.89,-34,24.73,87
Sitka,68,US,1541633866,41.93,12.66,37.17,-99.65,49
Pangnirtung,40,CA,1541631600,14,4.7,66.15,-65.72,72
Anadyr,90,RU,1541631600,6.8,2.24,64.73,177.51,84
High Rock,20,BS,1541631600,80.6,12.77,26.63,-78.28,78
Sorong,36,ID,1541633866,79.46,8.86,-0.86,131.25,100
Luwuk,76,ID,1541633867,83.55,2.48,-0.95,122.79,82
Los Llanos de Aridane,90,ES,1541631600,68,6.93,28.66,-17.92,64
Bandarbeyla,68,SO,1541633867,80.99,13.33,9.49,50.81,100
Tabuk,24,PH,1541633867,67.85,1.59,17.41,121.44,89
Harlingen,20,US,1541632500,89.96,14.99,26.19,-97.7,67
Kaliua,76,TZ,1541633868,68.43,2.59,-5.06,31.79,78
Recodo,92,PH,1541633868,73.7,6.62,13.03,121.49,100
Kattivakkam,20,IN,1541631600,75.2,10.42,13.22,80.32,94
Bilibino,32,RU,1541633868,-6.59,2.37,68.06,166.44,70
Tiksi,44,RU,1541633868,-10.28,3.04,71.64,128.87,70
Luan,0,CH,1541632800,48.2,3.36,46.36,6.98,93
Diamantino,76,BR,1541633869,72.98,2.82,-14.4,-56.44,98
Mana,0,RS,1541631600,44.6,3.36,43.52,20.24,100
Tres Palos,20,MX,1541630640,84.2,5.82,16.83,-99.78,74
Madang,88,PG,1541633869,80.09,1.14,-5.21,145.81,92
Batagay-Alyta,0,RU,1541633869,-33.63,6.4,67.8,130.41,55
Watsa,32,CD,1541633870,66.05,3.6,3.04,29.53,94
Thinadhoo,88,MV,1541633870,82.79,17.13,0.53,72.93,100
Inirida,56,CO,1541633805,77.3,3.15,3.87,-67.92,94
Leningradskiy,64,RU,1541633870,14.39,3.38,69.38,178.42,100
Sulangan,76,PH,1541633870,81.62,17.47,11.14,123.72,100
Posadas,0,PY,1541631600,80.6,6.93,-27.37,-55.89,47
Rawson,20,AR,1541633922,82.61,19.15,-43.3,-65.11,19
Martapura,92,ID,1541633922,73.83,7.52,-3.41,114.85,100
Casas Grandes,0,MX,1541633922,70.32,1.92,30.15,-110.24,48
Sidi Ali,0,DZ,1541633922,44.27,2.71,36.1,0.42,86
Charyshskoye,92,RU,1541633922,31.13,10.42,51.4,83.56,89
Cortes,80,PH,1541633923,75.63,3.94,9.28,126.19,100
Burnie,36,AU,1541633923,52.64,17.02,-41.05,145.91,100
Redmond,40,US,1541632500,53.06,4.7,47.67,-122.12,58
Vanimo,44,PG,1541633923,83.73,6.62,-2.67,141.3,100
Faya,0,SA,1541631600,57.2,2.37,18.39,42.45,71
Tessalit,0,ML,1541633924,65.6,6.73,20.2,1.01,28
Corrente,92,BR,1541633924,70.55,5.17,-17.45,-44.68,85
Ewa Beach,1,US,1541631420,84.02,10.29,21.32,-158.01,62
Norman Wells,40,CA,1541631600,8.6,9.17,65.28,-126.83,84
Elizabeth City,1,US,1541632500,62.96,3.36,36.3,-76.22,72
Vanavara,80,RU,1541633924,9.17,6.17,60.35,102.28,81
Lai,0,CN,1541633925,32.07,1.36,27.82,91.75,40
Udachnyy,68,RU,1541633925,-1.82,5.5,66.42,112.4,78
Port Hardy,75,CA,1541631600,46.4,4.7,50.7,-127.42,75
Aquiraz,20,BR,1541631600,80.6,10.29,-3.9,-38.39,74
Chara,75,GR,1541631000,55.4,2.71,39.42,22.43,93
Denpasar,40,ID,1541629800,78.8,3.36,-8.65,115.22,94
Taganak,75,PH,1541631600,78.8,3.36,6.08,118.3,94
Chubbuck,40,US,1541631180,42.08,11.41,42.93,-112.47,35
Turek,0,PL,1541633926,45.48,7.52,52.02,18.5,88
Marsaxlokk,0,MT,1541632500,60.8,4.7,35.84,14.54,87
Hanzhong,12,CN,1541633926,25.19,1.59,33.08,107.03,80
Isiro,20,CD,1541633927,67.58,2.04,2.77,27.62,97
Dickinson,90,US,1541631360,21.02,8.05,46.88,-102.79,56
Gat,64,SN,1541633927,78.74,10.98,14.69,-16.54,60
Abu Samrah,76,SY,1541633927,46.92,3.94,35.3,37.18,93
Solnechnyy,36,RU,1541633927,25.95,6.62,50.72,136.64,62
Coihaique,90,CL,1541631600,53.6,12.75,-45.58,-72.07,58
Da Lat,56,VN,1541633632,66.23,2.82,11.95,108.44,97
Lagoa,0,PT,1541631600,59,4.7,37.14,-8.45,87
Anaconda,75,US,1541631180,30.92,3.36,46.13,-112.94,72
Sioux Lookout,90,CA,1541631600,21.2,10.29,50.1,-91.92,73
Esna,88,RO,1541633929,43.5,3.71,45.2,27.57,91
Seddon,68,NZ,1541633929,62.58,18.7,-41.67,174.07,83
Asyut,0,EG,1541631600,62.6,4.7,27.18,31.19,72
Maceio,40,BR,1541631600,77,8.05,-9.67,-35.74,88
Pangoa,36,PE,1541633929,65.87,2.37,-12.12,-73,95
Bhabua,0,IN,1541633981,58.94,3.15,25.04,83.61,77
Raudeberg,8,NO,1541631000,51.8,9.17,61.99,5.14,93
Barela,0,IN,1541633982,51.2,3.27,23.1,80.05,67
Senador Pompeu,32,BR,1541633982,82.7,10.76,-5.58,-39.37,46
Ochamchira,12,GE,1541633982,54.57,7.96,42.71,41.47,100
Najran,40,SA,1541631600,71.6,1.81,17.54,44.22,37
Bethel,1,US,1541631180,35.96,5.82,60.79,-161.76,89
Yurla,88,RU,1541633983,34.55,10.09,59.33,54.32,94
Seymchan,76,RU,1541633983,-8.52,3.27,62.93,152.39,100
Honningsvag,40,NO,1541631000,33.8,11.41,70.98,25.97,80
Pisco,0,PE,1541631600,71.6,23.04,-13.71,-76.2,30
Broken Hill,0,AU,1541633984,58.22,8.75,-31.97,141.45,69
Cabo San Lucas,5,MX,1541630700,84.2,5.82,22.89,-109.91,54
Brigantine,1,US,1541631600,60.98,6.93,39.41,-74.36,49
Campo Verde,75,PE,1541631600,73.4,4.7,-8.47,-74.81,94
Ormara,0,PK,1541633985,70.95,8.97,25.21,64.64,95
Ayr,40,GB,1541631000,48.2,10.29,55.46,-4.63,76
Fort-Shevchenko,56,KZ,1541633985,39.72,6.62,44.51,50.26,100
Nishihara,90,JP,1541631600,60.8,5.82,35.74,139.53,67
Gouyave,75,GD,1541631600,75.2,5.82,12.16,-61.73,94
Batagay,12,RU,1541633985,-31.2,2.48,67.65,134.64,52
Kavaratti,36,IN,1541633986,84.77,2.71,10.57,72.64,100
Hay River,90,CA,1541631600,8.6,5.82,60.82,-115.79,92
Tilichiki,88,RU,1541633986,23.12,8.75,60.47,166.1,90
Karratha,0,AU,1541633986,86.93,5.17,-20.74,116.85,18
Mosquera,40,CO,1541631600,59,4.7,4.71,-74.23,82
Siaya,44,KE,1541633987,65.6,8.08,0.06,34.29,100
Nampula,20,MZ,1541631600,77,4.7,-15.12,39.26,65
Viedma,0,AR,1541633987,77.52,21.72,-40.81,-62.99,34
Hofn,92,IS,1541633987,44.13,20.71,64.25,-15.21,97
Anloga,20,GH,1541631600,80.6,4.7,5.79,0.9,83
Tortoli,40,IT,1541631300,59,2.24,39.93,9.66,62
Mustafabad,0,IN,1541633988,51.11,2.71,29.64,77.11,85
Hamilton,20,BM,1541631300,75.2,5.82,32.3,-64.78,83
Takoradi,20,GH,1541633988,80,5.61,4.89,-1.75,100
Namie,75,JP,1541631600,55.4,8.05,37.52,140.86,100
Mullovka,36,RU,1541631600,32,11.18,54.22,49.39,100
Lusambo,80,CD,1541633989,70.73,2.37,-4.97,23.44,99
Ust-Kut,68,RU,1541633989,17.58,6.62,56.78,105.75,73
Karymskoye,0,RU,1541633989,0.48,2.93,51.62,114.34,58
Jining,92,CN,1541633989,41.48,6.17,35.41,116.58,100
